frequency_thz,phdos_modes_per_thz
8.99626797,0.0176871117
9.01120640,0.0170094428
9.02614482,0.0162968121
9.04108324,0.0155494880
9.05602167,0.0147739147
9.07096009,0.0139825560
9.08589851,0.0131922454
9.10083693,0.0124206209
9.11577536,0.0116847277
9.13071378,0.0109989894
9.14565220,0.0103720149
9.16059063,0.0098074189
9.17552905,0.0093021212
9.19046747,0.0088473365
9.20540589,0.0084306526
9.22034432,0.0080370273
9.23528274,0.0076508159
9.25022116,0.0072590217
9.26515959,0.0068502996
9.28009801,0.0064184375
9.29503643,0.0059618882
9.30997485,0.0054844673
9.32491328,0.0049942730
9.33985170,0.0045007797
9.35479012,0.0040165628
9.36972855,0.0035532890
9.38466697,0.0031213676
9.39960539,0.0027323946
9.41454381,0.0023922719
9.42948224,0.0021074275
9.44442066,0.0018836821
9.45935908,0.0017270210
9.47429751,0.0016455916
9.48923593,0.0016502433
9.50417435,0.0017598141
9.51911277,0.0019976825
9.53405120,0.0023960364
9.54898962,0.0029976066
9.56392804,0.0038490464
9.57886647,0.0050066235
9.59380489,0.0065371212
9.60874331,0.0085060653
9.62368173,0.0109831477
9.63862016,0.0140347515
9.65355858,0.0177251973
9.66849700,0.0221114595
9.68343543,0.0272424127
9.69837385,0.0331544733
9.71331227,0.0398775020
9.72825069,0.0474360765
9.74318912,0.0558523970
9.75812754,0.0651420924
9.77306596,0.0753294317
9.78800439,0.0864425322
9.80294281,0.0985223573
9.81788123,0.1116166150
9.83281965,0.1257852105
9.84775808,0.1410976988
9.86269650,0.1576268719
9.87763492,0.1754458472
9.89257335,0.1946239655
9.90751177,0.2152224888
9.92245019,0.2373009658
9.93738861,0.2609094909
9.95232704,0.2860914860
9.96726546,0.3128904687
9.98220388,0.3413455055
9.99714231,0.3715089976
10.01208073,0.4034416476
10.02701915,0.4372144658
10.04195757,0.4729121278
10.05689600,0.5106378981
10.07183442,0.5504924768
10.08677284,0.5926054646
10.10171127,0.6371097543
10.11664969,0.6841532981
10.13158811,0.7338909028
10.14652653,0.7865148588
10.16146496,0.8422363830
10.17640338,0.9012682987
10.19134180,0.9638536848
10.20628023,1.0302361384
10.22121865,1.1006235515
10.23615707,1.1751928077
10.25109549,1.2540496099
10.26603392,1.3372004319
10.28097234,1.4245180146
10.29591076,1.5157382809
10.31084919,1.6104489462
10.32578761,1.7080843494
10.34072603,1.8079506890
10.35566445,1.9092189234
10.37060288,2.0109805845
10.38554130,2.1122596303
10.40047972,2.2120437440
10.41541815,2.3093105331
10.43035657,2.4030627211
10.44529499,2.4923560203
10.46023341,2.5763290553
10.47517184,2.6542478578
10.49011026,2.7255455145
10.50504868,2.7898862387
10.51998711,2.8472107949
10.53492553,2.8977778465
10.54986395,2.9422091639
10.56480237,2.9814902222
10.57974080,3.0169378051
10.59467922,3.0501183403
10.60961764,3.0827389507
10.62455607,3.1164818002
10.63949449,3.1528274510
10.65443291,3.1928459011
10.66937133,3.2370299671
10.68430976,3.2851525387
10.69924818,3.3362083850
10.71418660,3.3884015467
10.72912503,3.4392509005
10.74406345,3.4857735207
10.75900187,3.5247173751
10.77394029,3.5528595092
10.78887872,3.5672977644
10.80381714,3.5657144275
10.81875556,3.5465893293
10.83369398,3.5093349831
10.84863241,3.4543232909
10.86357083,3.3828475100
10.87850925,3.2969631399
10.89344768,3.1993208719
10.90838610,3.0929080266
10.92332452,2.9808224817
10.93826294,2.8660651895
